2021-02-17 18:20:09,100 - log  - 连接数据库
2021-02-17 18:20:09,101 - log  - 连接数据库成功
2021-02-17 18:20:09,107 - log  - 清空数据库
2021-02-17 18:20:09,107 - log  - 将ID归零
2021-02-17 18:20:09,114 - log  - 初始化pro接口成功
2021-02-17 18:20:09,114 - log  - 抓取平安银行股票数据
2021-02-17 18:20:12,318 - log  - 添加平安银行股票数据到数据库--成功,用时-3.204343
2021-02-17 18:20:12,318 - log  - 平安银行 共487条数据已添加到数据库！
2021-02-17 18:20:12,322 - log  - 初始化pro接口成功
2021-02-17 18:20:12,322 - log  - 抓取万科A股票数据
2021-02-17 18:20:15,070 - log  - 添加万科A股票数据到数据库--成功,用时-2.7479310000000003
2021-02-17 18:20:15,071 - log  - 万科A 共487条数据已添加到数据库！
2021-02-17 18:20:15,074 - log  - 初始化pro接口成功
2021-02-17 18:20:15,074 - log  - 抓取国华网安股票数据
2021-02-17 18:20:17,918 - log  - 添加国华网安股票数据到数据库--成功,用时-2.844106
2021-02-17 18:20:17,918 - log  - 国华网安 共476条数据已添加到数据库！
2021-02-17 18:20:17,922 - log  - 初始化pro接口成功
2021-02-17 18:20:17,922 - log  - 抓取世纪星源股票数据
2021-02-17 18:20:20,677 - log  - 添加世纪星源股票数据到数据库--成功,用时-2.754022000000001
2021-02-17 18:20:20,677 - log  - 世纪星源 共487条数据已添加到数据库！
2021-02-17 18:20:20,681 - log  - 初始化pro接口成功
2021-02-17 18:20:20,681 - log  - 抓取深振业A股票数据
2021-02-17 18:20:23,417 - log  - 添加深振业A股票数据到数据库--成功,用时-2.7370923000000005
2021-02-17 18:20:23,418 - log  - 深振业A 共487条数据已添加到数据库！
2021-02-17 18:20:23,421 - log  - 初始化pro接口成功
2021-02-17 18:20:23,421 - log  - 抓取全新好股票数据
2021-02-17 18:20:26,136 - log  - 添加全新好股票数据到数据库--成功,用时-2.7149547
2021-02-17 18:20:26,137 - log  - 全新好 共487条数据已添加到数据库！
2021-02-17 18:20:26,140 - log  - 初始化pro接口成功
2021-02-17 18:20:26,140 - log  - 抓取神州高铁股票数据
2021-02-17 18:20:28,801 - log  - 添加神州高铁股票数据到数据库--成功,用时-2.660619799999999
2021-02-17 18:20:28,801 - log  - 神州高铁 共487条数据已添加到数据库！
2021-02-17 18:20:28,804 - log  - 初始化pro接口成功
2021-02-17 18:20:28,805 - log  - 抓取中国宝安股票数据
2021-02-17 18:20:31,776 - log  - 添加中国宝安股票数据到数据库--成功,用时-2.971437699999999
2021-02-17 18:20:31,776 - log  - 中国宝安 共487条数据已添加到数据库！
2021-02-17 18:20:31,780 - log  - 初始化pro接口成功
2021-02-17 18:20:31,780 - log  - 抓取美丽生态股票数据
2021-02-17 18:20:34,460 - log  - 添加美丽生态股票数据到数据库--成功,用时-2.6802336999999987
2021-02-17 18:20:34,461 - log  - 美丽生态 共485条数据已添加到数据库！
2021-02-17 18:20:34,464 - log  - 初始化pro接口成功
2021-02-17 18:20:34,464 - log  - 抓取深物业A股票数据
2021-02-17 18:20:37,190 - log  - 添加深物业A股票数据到数据库--成功,用时-2.7261656000000016
2021-02-17 18:20:37,190 - log  - 深物业A 共487条数据已添加到数据库！
2021-02-17 18:20:37,193 - log  - 初始化pro接口成功
2021-02-17 18:20:37,193 - log  - 抓取南玻A股票数据
2021-02-17 18:20:39,907 - log  - 添加南玻A股票数据到数据库--成功,用时-2.713428999999998
